state,abbreviation,name,price,date
Alabama,AL,Autauga,$3.5060,2026-06-26
Alabama,AL,Baldwin,$3.4040,2026-06-26
Alabama,AL,Barbour,$3.6970,2026-06-26
Alabama,AL,Bibb,$3.6210,2026-06-26
Alabama,AL,Blount,$3.4800,2026-06-26
Alabama,AL,Bullock,$3.7020,2026-06-26
Alabama,AL,Butler,$3.6670,2026-06-26
Alabama,AL,Calhoun,$3.3720,2026-06-26
Alabama,AL,Chambers,$3.5160,2026-06-26
Alabama,AL,Cherokee,$3.3350,2026-06-26
Alabama,AL,Chilton,$3.6030,2026-06-26
Alabama,AL,Choctaw,$3.6710,2026-06-26
Alabama,AL,Clarke,$3.7530,2026-06-26
Alabama,AL,Clay,$3.8990,2026-06-26
Alabama,AL,Cleburne,$3.5030,2026-06-26
Alabama,AL,Coffee,$3.5400,2026-06-26
Alabama,AL,Colbert,$3.3530,2026-06-26
Alabama,AL,Conecuh,$3.8820,2026-06-26
Alabama,AL,Coosa,$3.5790,2026-06-26
Alabama,AL,Covington,$3.5040,2026-06-26
Alabama,AL,Crenshaw,$3.6810,2026-06-26
Alabama,AL,Cullman,$3.4620,2026-06-26
Alabama,AL,Dale,$3.5100,2026-06-26
Alabama,AL,Dallas,$3.5670,2026-06-26
Alabama,AL,De Kalb,$3.4370,2026-06-26
Alabama,AL,Elmore,$3.5170,2026-06-26
Alabama,AL,Escambia,$3.5960,2026-06-26
Alabama,AL,Etowah,$3.3690,2026-06-26
Alabama,AL,Fayette,$3.7230,2026-06-26
Alabama,AL,Franklin,$3.3920,2026-06-26
Alabama,AL,Geneva,$3.5880,2026-06-26
Alabama,AL,Greene,$3.8370,2026-06-26
Alabama,AL,Hale,$3.4260,2026-06-26
Alabama,AL,Henry,$3.4700,2026-06-26
Alabama,AL,Houston,$3.4680,2026-06-26
Alabama,AL,Jackson,$3.5370,2026-06-26
Alabama,AL,Jefferson,$3.5400,2026-06-26
Alabama,AL,Lamar,$3.7210,2026-06-26
Alabama,AL,Lauderdale,$3.3740,2026-06-26
Alabama,AL,Lawrence,$3.4260,2026-06-26
Alabama,AL,Lee,$3.4950,2026-06-26
Alabama,AL,Limestone,$3.4400,2026-06-26
Alabama,AL,Lowndes,$3.6530,2026-06-26
Alabama,AL,Macon,$3.5860,2026-06-26
Alabama,AL,Madison,$3.4850,2026-06-26
Alabama,AL,Marengo,$3.4590,2026-06-26
Alabama,AL,Marion,$3.6210,2026-06-26
Alabama,AL,Marshall,$3.3630,2026-06-26
Alabama,AL,Mobile,$3.4250,2026-06-26
Alabama,AL,Monroe,$3.8240,2026-06-26
Alabama,AL,Montgomery,$3.5660,2026-06-26
Alabama,AL,Morgan,$3.4200,2026-06-26
Alabama,AL,Perry,$3.8390,2026-06-26
Alabama,AL,Pickens,$3.6140,2026-06-26
Alabama,AL,Pike,$3.7250,2026-06-26
Alabama,AL,Randolph,$3.6630,2026-06-26
Alabama,AL,Russell,$3.5180,2026-06-26
Alabama,AL,Shelby,$3.4530,2026-06-26
Alabama,AL,Saint Clair,$3.4270,2026-06-26
Alabama,AL,Sumter,$3.6990,2026-06-26
Alabama,AL,Talladega,$3.5020,2026-06-26
Alabama,AL,Tallapoosa,$3.5520,2026-06-26
Alabama,AL,Tuscaloosa,$3.4420,2026-06-26
Alabama,AL,Walker,$3.5300,2026-06-26
Alabama,AL,Washington,$3.8450,2026-06-26
Alabama,AL,Wilcox,$3.8170,2026-06-26
Alabama,AL,Winston,$3.5890,2026-06-26
Alaska,AK,Aleutians East,,2026-06-26
Alaska,AK,Aleutians West,,2026-06-26
Alaska,AK,Anchorage,$5.0150,2026-06-26
Alaska,AK,Bethel,,2026-06-26
Alaska,AK,Bristol Bay,,2026-06-26
Alaska,AK,Denali,$5.2290,2026-06-26
Alaska,AK,Dillingham,,2026-06-26
Alaska,AK,Fairbanks North Star,$4.5550,2026-06-26
Alaska,AK,Haines,$5.7890,2026-06-26
Alaska,AK,Juneau,$4.7950,2026-06-26
Alaska,AK,Kenai Peninsula,$5.0740,2026-06-26
Alaska,AK,Ketchikan Gateway,$4.7610,2026-06-26
Alaska,AK,Kodiak Island,$5.4790,2026-06-26
Alaska,AK,Matanuska Susitna,$4.7540,2026-06-26
Alaska,AK,Nome,$6.2990,2026-06-26
Alaska,AK,North Slope,,2026-06-26
Alaska,AK,Northwest Arctic,,2026-06-26
Alaska,AK,Lake and Peninsula,,2026-06-26
Alaska,AK,Prince Wales Ketchikan,$5.2760,2026-06-26
Alaska,AK,Sitka,$4.9890,2026-06-26
Alaska,AK,Skagway Hoonah Angoon,$5.3590,2026-06-26
Alaska,AK,Southeast Fairbanks,$4.8400,2026-06-26
Alaska,AK,Valdez Cordova,$5.2790,2026-06-26
Alaska,AK,Wade Hampton,,2026-06-26
Alaska,AK,Wrangell Petersburg,$4.8290,2026-06-26
Alaska,AK,Yakutat,,2026-06-26
Alaska,AK,Yukon Koyukuk,$4.7290,2026-06-26
Arizona,AZ,Apache,$4.4520,2026-06-26
Arizona,AZ,Cochise,$4.3610,2026-06-26
Arizona,AZ,Coconino,$4.5080,2026-06-26
Arizona,AZ,Gila,$4.4230,2026-06-26
Arizona,AZ,Graham,$4.5480,2026-06-26
Arizona,AZ,Greenlee,$4.4470,2026-06-26
Arizona,AZ,La Paz,$4.1090,2026-06-26
Arizona,AZ,Maricopa,$3.9730,2026-06-26
Arizona,AZ,Mohave,$4.2200,2026-06-26
Arizona,AZ,Navajo,$4.2670,2026-06-26
Arizona,AZ,Pima,$3.9200,2026-06-26
Arizona,AZ,Pinal,$3.9850,2026-06-26
Arizona,AZ,Santa Cruz,$4.2320,2026-06-26
Arizona,AZ,Yavapai,$4.4650,2026-06-26
Arizona,AZ,Yuma,$4.2580,2026-06-26
Arkansas,AR,Arkansas,$3.4910,2026-06-26
Arkansas,AR,Ashley,$3.5150,2026-06-26
Arkansas,AR,Baxter,$3.5390,2026-06-26
Arkansas,AR,Benton,$3.4690,2026-06-26
Arkansas,AR,Boone,$3.6970,2026-06-26
Arkansas,AR,Bradley,$3.5120,2026-06-26
Arkansas,AR,Calhoun,$3.7990,2026-06-26
Arkansas,AR,Carroll,$3.5230,2026-06-26
Arkansas,AR,Chicot,$3.6360,2026-06-26
Arkansas,AR,Clark,$3.7080,2026-06-26
Arkansas,AR,Clay,$3.6040,2026-06-26
Arkansas,AR,Cleburne,$3.5470,2026-06-26
Arkansas,AR,Cleveland,$3.9990,2026-06-26
Arkansas,AR,Columbia,$3.7940,2026-06-26
Arkansas,AR,Conway,$3.3810,2026-06-26
Arkansas,AR,Craighead,$3.3030,2026-06-26
Arkansas,AR,Crawford,$3.4820,2026-06-26
Arkansas,AR,Crittenden,$3.4910,2026-06-26
Arkansas,AR,Cross,$3.5410,2026-06-26
Arkansas,AR,Dallas,$3.6970,2026-06-26
Arkansas,AR,Desha,$3.4990,2026-06-26
Arkansas,AR,Drew,$3.5450,2026-06-26
Arkansas,AR,Faulkner,$3.3140,2026-06-26
Arkansas,AR,Franklin,$3.4640,2026-06-26
Arkansas,AR,Fulton,$3.6390,2026-06-26
Arkansas,AR,Garland,$3.3650,2026-06-26
Arkansas,AR,Grant,$3.5550,2026-06-26
Arkansas,AR,Greene,$3.2330,2026-06-26
Arkansas,AR,Hempstead,$3.6450,2026-06-26
Arkansas,AR,Hot Spring,$3.4100,2026-06-26
Arkansas,AR,Howard,$3.7220,2026-06-26
Arkansas,AR,Independence,$3.5850,2026-06-26
Arkansas,AR,Izard,$3.6740,2026-06-26
Arkansas,AR,Jackson,$3.5910,2026-06-26
Arkansas,AR,Jefferson,$3.5200,2026-06-26
Arkansas,AR,Johnson,$3.4620,2026-06-26
Arkansas,AR,Lafayette,$3.9190,2026-06-26
Arkansas,AR,Lawrence,$3.5100,2026-06-26
Arkansas,AR,Lee,$3.7490,2026-06-26
Arkansas,AR,Lincoln,$3.5840,2026-06-26
Arkansas,AR,Little River,$3.6120,2026-06-26
Arkansas,AR,Logan,$3.5230,2026-06-26
Arkansas,AR,Lonoke,$3.5020,2026-06-26
Arkansas,AR,Madison,$3.4660,2026-06-26
Arkansas,AR,Marion,$3.6270,2026-06-26
Arkansas,AR,Miller,$3.4960,2026-06-26
Arkansas,AR,Mississippi,$3.4430,2026-06-26
Arkansas,AR,Monroe,$3.4970,2026-06-26
Arkansas,AR,Montgomery,$3.8490,2026-06-26
Arkansas,AR,Nevada,$3.6070,2026-06-26
Arkansas,AR,Newton,$3.9290,2026-06-26
Arkansas,AR,Ouachita,$3.7950,2026-06-26
Arkansas,AR,Perry,$3.4740,2026-06-26
Arkansas,AR,Phillips,$3.7940,2026-06-26
Arkansas,AR,Pike,$3.7130,2026-06-26
Arkansas,AR,Poinsett,$3.5420,2026-06-26
Arkansas,AR,Polk,$3.5190,2026-06-26
Arkansas,AR,Pope,$3.4510,2026-06-26
Arkansas,AR,Prairie,$3.4160,2026-06-26
Arkansas,AR,Pulaski,$3.4750,2026-06-26
Arkansas,AR,Randolph,$3.4660,2026-06-26
Arkansas,AR,Saline,$3.4210,2026-06-26
Arkansas,AR,Scott,$3.5940,2026-06-26
Arkansas,AR,Searcy,$3.5500,2026-06-26
Arkansas,AR,Sebastian,$3.5050,2026-06-26
Arkansas,AR,Sevier,$3.7230,2026-06-26
Arkansas,AR,Sharp,$3.5900,2026-06-26
Arkansas,AR,Saint Francis,$3.5050,2026-06-26
Arkansas,AR,Stone,$3.6420,2026-06-26
Arkansas,AR,Union,$3.8550,2026-06-26
Arkansas,AR,Van Buren,$3.4080,2026-06-26
Arkansas,AR,Washington,$3.5150,2026-06-26
Arkansas,AR,White,$3.3910,2026-06-26
Arkansas,AR,Woodruff,$3.5320,2026-06-26
Arkansas,AR,Yell,$3.5110,2026-06-26
California,CA,Alameda,$5.5400,2026-06-26
California,CA,Alpine,,2026-06-26
