state,abbreviation,name,price,date
Alabama,AL,Autauga,$2.874,2025-04-03
Alabama,AL,Baldwin,$2.872,2025-04-03
Alabama,AL,Barbour,$2.899,2025-04-03
Alabama,AL,Bibb,$2.721,2025-04-03
Alabama,AL,Blount,$2.893,2025-04-03
Alabama,AL,Bullock,$2.799,2025-04-03
Alabama,AL,Butler,$2.878,2025-04-03
Alabama,AL,Calhoun,$2.855,2025-04-03
Alabama,AL,Chambers,$2.858,2025-04-03
Alabama,AL,Cherokee,$2.861,2025-04-03
Alabama,AL,Chilton,$2.875,2025-04-03
Alabama,AL,Choctaw,$2.963,2025-04-03
Alabama,AL,Clarke,$2.927,2025-04-03
Alabama,AL,Clay,$2.855,2025-04-03
Alabama,AL,Cleburne,$2.846,2025-04-03
Alabama,AL,Coffee,$2.883,2025-04-03
Alabama,AL,Colbert,$2.835,2025-04-03
Alabama,AL,Conecuh,$3.012,2025-04-03
Alabama,AL,Coosa,$2.892,2025-04-03
Alabama,AL,Covington,$2.831,2025-04-03
Alabama,AL,Crenshaw,$2.891,2025-04-03
Alabama,AL,Cullman,$2.842,2025-04-03
Alabama,AL,Dale,$2.862,2025-04-03
Alabama,AL,Dallas,$2.923,2025-04-03
Alabama,AL,De Kalb,$2.869,2025-04-03
Alabama,AL,Elmore,$2.870,2025-04-03
Alabama,AL,Escambia,$2.897,2025-04-03
Alabama,AL,Etowah,$2.872,2025-04-03
Alabama,AL,Fayette,$2.885,2025-04-03
Alabama,AL,Franklin,$2.829,2025-04-03
Alabama,AL,Geneva,$2.918,2025-04-03
Alabama,AL,Greene,$3.006,2025-04-03
Alabama,AL,Hale,$2.857,2025-04-03
Alabama,AL,Henry,$2.859,2025-04-03
Alabama,AL,Houston,$2.882,2025-04-03
Alabama,AL,Jackson,$2.872,2025-04-03
Alabama,AL,Jefferson,$2.844,2025-04-03
Alabama,AL,Lamar,$2.812,2025-04-03
Alabama,AL,Lauderdale,$2.866,2025-04-03
Alabama,AL,Lawrence,$2.823,2025-04-03
Alabama,AL,Lee,$2.856,2025-04-03
Alabama,AL,Limestone,$2.848,2025-04-03
Alabama,AL,Lowndes,$2.874,2025-04-03
Alabama,AL,Macon,$2.910,2025-04-03
Alabama,AL,Madison,$2.819,2025-04-03
Alabama,AL,Marengo,$2.889,2025-04-03
Alabama,AL,Marion,$2.821,2025-04-03
Alabama,AL,Marshall,$2.820,2025-04-03
Alabama,AL,Mobile,$2.870,2025-04-03
Alabama,AL,Monroe,$2.892,2025-04-03
Alabama,AL,Montgomery,$2.873,2025-04-03
Alabama,AL,Morgan,$2.798,2025-04-03
Alabama,AL,Perry,$3.032,2025-04-03
Alabama,AL,Pickens,$2.841,2025-04-03
Alabama,AL,Pike,$2.843,2025-04-03
Alabama,AL,Randolph,$2.863,2025-04-03
Alabama,AL,Russell,$2.828,2025-04-03
Alabama,AL,Shelby,$2.835,2025-04-03
Alabama,AL,Saint Clair,$2.852,2025-04-03
Alabama,AL,Sumter,$3.004,2025-04-03
Alabama,AL,Talladega,$2.889,2025-04-03
Alabama,AL,Tallapoosa,$2.855,2025-04-03
Alabama,AL,Tuscaloosa,$2.807,2025-04-03
Alabama,AL,Walker,$2.787,2025-04-03
Alabama,AL,Washington,$2.907,2025-04-03
Alabama,AL,Wilcox,$2.939,2025-04-03
Alabama,AL,Winston,$2.849,2025-04-03
Alaska,AK,Aleutians East,,2025-04-03
Alaska,AK,Aleutians West,,2025-04-03
Alaska,AK,Anchorage,$3.548,2025-04-03
Alaska,AK,Bethel,,2025-04-03
Alaska,AK,Bristol Bay,,2025-04-03
Alaska,AK,Denali,$3.664,2025-04-03
Alaska,AK,Dillingham,,2025-04-03
Alaska,AK,Fairbanks North Star,$3.555,2025-04-03
Alaska,AK,Haines,,2025-04-03
Alaska,AK,Juneau,$3.357,2025-04-03
Alaska,AK,Kenai Peninsula,$3.561,2025-04-03
Alaska,AK,Ketchikan Gateway,$3.679,2025-04-03
Alaska,AK,Kodiak Island,$4.349,2025-04-03
Alaska,AK,Matanuska Susitna,$3.385,2025-04-03
Alaska,AK,Nome,,2025-04-03
Alaska,AK,North Slope,,2025-04-03
Alaska,AK,Northwest Arctic,,2025-04-03
Alaska,AK,Lake and Peninsula,,2025-04-03
Alaska,AK,Prince Wales Ketchikan,,2025-04-03
Alaska,AK,Sitka,$4.039,2025-04-03
Alaska,AK,Skagway Hoonah Angoon,,2025-04-03
Alaska,AK,Southeast Fairbanks,$3.708,2025-04-03
Alaska,AK,Valdez Cordova,$4.197,2025-04-03
Alaska,AK,Wade Hampton,,2025-04-03
Alaska,AK,Wrangell Petersburg,$3.602,2025-04-03
Alaska,AK,Yakutat,,2025-04-03
Alaska,AK,Yukon Koyukuk,,2025-04-03
Arizona,AZ,Apache,$3.196,2025-04-03
Arizona,AZ,Cochise,$3.278,2025-04-03
Arizona,AZ,Coconino,$3.277,2025-04-03
Arizona,AZ,Gila,$3.209,2025-04-03
Arizona,AZ,Graham,$3.008,2025-04-03
Arizona,AZ,Greenlee,$3.037,2025-04-03
Arizona,AZ,La Paz,$3.104,2025-04-03
Arizona,AZ,Maricopa,$3.647,2025-04-03
Arizona,AZ,Mohave,$3.240,2025-04-03
Arizona,AZ,Navajo,$3.283,2025-04-03
Arizona,AZ,Pima,$3.103,2025-04-03
Arizona,AZ,Pinal,$3.242,2025-04-03
Arizona,AZ,Santa Cruz,$3.168,2025-04-03
Arizona,AZ,Yavapai,$3.212,2025-04-03
Arizona,AZ,Yuma,$3.173,2025-04-03
Arkansas,AR,Arkansas,$2.872,2025-04-03
Arkansas,AR,Ashley,$2.818,2025-04-03
Arkansas,AR,Baxter,$2.904,2025-04-03
Arkansas,AR,Benton,$2.892,2025-04-03
