state,abbreviation,name,price,date
Alabama,AL,Autauga,$2.769,2025-01-06
Alabama,AL,Baldwin,$2.711,2025-01-06
Alabama,AL,Barbour,$2.764,2025-01-06
Alabama,AL,Bibb,$2.661,2025-01-06
Alabama,AL,Blount,$2.775,2025-01-06
Alabama,AL,Bullock,$2.899,2025-01-06
Alabama,AL,Butler,$2.830,2025-01-06
Alabama,AL,Calhoun,$2.806,2025-01-06
Alabama,AL,Chambers,$2.803,2025-01-06
Alabama,AL,Cherokee,$2.736,2025-01-06
Alabama,AL,Chilton,$2.800,2025-01-06
Alabama,AL,Choctaw,$2.899,2025-01-06
Alabama,AL,Clarke,$2.845,2025-01-06
Alabama,AL,Clay,$2.819,2025-01-06
Alabama,AL,Cleburne,$2.809,2025-01-06
Alabama,AL,Coffee,$2.771,2025-01-06
Alabama,AL,Colbert,$2.769,2025-01-06
Alabama,AL,Conecuh,$2.949,2025-01-06
Alabama,AL,Coosa,$2.739,2025-01-06
Alabama,AL,Covington,$2.773,2025-01-06
Alabama,AL,Crenshaw,$2.788,2025-01-06
Alabama,AL,Cullman,$2.758,2025-01-06
Alabama,AL,Dale,$2.737,2025-01-06
Alabama,AL,Dallas,$2.833,2025-01-06
Alabama,AL,De Kalb,$2.754,2025-01-06
Alabama,AL,Elmore,$2.740,2025-01-06
Alabama,AL,Escambia,$2.816,2025-01-06
Alabama,AL,Etowah,$2.741,2025-01-06
Alabama,AL,Fayette,$2.868,2025-01-06
Alabama,AL,Franklin,$2.733,2025-01-06
Alabama,AL,Geneva,$2.871,2025-01-06
Alabama,AL,Greene,$2.950,2025-01-06
Alabama,AL,Hale,$2.774,2025-01-06
Alabama,AL,Henry,$2.810,2025-01-06
Alabama,AL,Houston,$2.714,2025-01-06
Alabama,AL,Jackson,$2.789,2025-01-06
Alabama,AL,Jefferson,$2.777,2025-01-06
Alabama,AL,Lamar,$2.852,2025-01-06
Alabama,AL,Lauderdale,$2.797,2025-01-06
Alabama,AL,Lawrence,$2.733,2025-01-06
Alabama,AL,Lee,$2.674,2025-01-06
Alabama,AL,Limestone,$2.763,2025-01-06
Alabama,AL,Lowndes,$2.775,2025-01-06
Alabama,AL,Macon,$2.791,2025-01-06
Alabama,AL,Madison,$2.759,2025-01-06
Alabama,AL,Marengo,$2.836,2025-01-06
Alabama,AL,Marion,$2.856,2025-01-06
Alabama,AL,Marshall,$2.721,2025-01-06
Alabama,AL,Mobile,$2.710,2025-01-06
Alabama,AL,Monroe,$2.906,2025-01-06
Alabama,AL,Montgomery,$2.739,2025-01-06
Alabama,AL,Morgan,$2.703,2025-01-06
Alabama,AL,Perry,$3.049,2025-01-06
Alabama,AL,Pickens,$2.767,2025-01-06
Alabama,AL,Pike,$2.814,2025-01-06
Alabama,AL,Randolph,$2.759,2025-01-06
Alabama,AL,Russell,$2.705,2025-01-06
Alabama,AL,Shelby,$2.746,2025-01-06
Alabama,AL,Saint Clair,$2.714,2025-01-06
Alabama,AL,Sumter,$2.921,2025-01-06
Alabama,AL,Talladega,$2.776,2025-01-06
Alabama,AL,Tallapoosa,$2.767,2025-01-06
Alabama,AL,Tuscaloosa,$2.722,2025-01-06
Alabama,AL,Walker,$2.763,2025-01-06
Alabama,AL,Washington,$2.839,2025-01-06
Alabama,AL,Wilcox,$2.992,2025-01-06
Alabama,AL,Winston,$2.791,2025-01-06
