state,abbreviation,name,price,date
Alabama,AL,Autauga,$2.786,2025-08-22
Alabama,AL,Baldwin,$2.780,2025-08-22
Alabama,AL,Barbour,$2.845,2025-08-22
Alabama,AL,Bibb,$2.701,2025-08-22
Alabama,AL,Blount,$2.743,2025-08-22
Alabama,AL,Bullock,$2.798,2025-08-22
Alabama,AL,Butler,$2.872,2025-08-22
Alabama,AL,Calhoun,$2.663,2025-08-22
Alabama,AL,Chambers,$2.723,2025-08-22
Alabama,AL,Cherokee,$2.688,2025-08-22
Alabama,AL,Chilton,$2.809,2025-08-22
Alabama,AL,Choctaw,$2.982,2025-08-22
Alabama,AL,Clarke,$2.924,2025-08-22
Alabama,AL,Clay,$2.903,2025-08-22
Alabama,AL,Cleburne,$2.805,2025-08-22
Alabama,AL,Coffee,$2.791,2025-08-22
Alabama,AL,Colbert,$2.702,2025-08-22
Alabama,AL,Conecuh,$2.973,2025-08-22
Alabama,AL,Coosa,$2.802,2025-08-22
Alabama,AL,Covington,$2.790,2025-08-22
Alabama,AL,Crenshaw,$2.863,2025-08-22
Alabama,AL,Cullman,$2.689,2025-08-22
Alabama,AL,Dale,$2.777,2025-08-22
Alabama,AL,Dallas,$2.821,2025-08-22
Alabama,AL,De Kalb,$2.664,2025-08-22
Alabama,AL,Elmore,$2.756,2025-08-22
Alabama,AL,Escambia,$2.919,2025-08-22
Alabama,AL,Etowah,$2.646,2025-08-22
Alabama,AL,Fayette,$2.958,2025-08-22
Alabama,AL,Franklin,$2.703,2025-08-22
Alabama,AL,Geneva,$2.826,2025-08-22
Alabama,AL,Greene,$3.020,2025-08-22
Alabama,AL,Hale,$2.762,2025-08-22
Alabama,AL,Henry,$2.784,2025-08-22
Alabama,AL,Houston,$2.775,2025-08-22
Alabama,AL,Jackson,$2.813,2025-08-22
Alabama,AL,Jefferson,$2.743,2025-08-22
Alabama,AL,Lamar,$2.934,2025-08-22
Alabama,AL,Lauderdale,$2.729,2025-08-22
Alabama,AL,Lawrence,$2.727,2025-08-22
Alabama,AL,Lee,$2.748,2025-08-22
Alabama,AL,Limestone,$2.769,2025-08-22
Alabama,AL,Lowndes,$2.841,2025-08-22
Alabama,AL,Macon,$2.887,2025-08-22
Alabama,AL,Madison,$2.760,2025-08-22
Alabama,AL,Marengo,$2.874,2025-08-22
Alabama,AL,Marion,$2.917,2025-08-22
Alabama,AL,Marshall,$2.658,2025-08-22
Alabama,AL,Mobile,$2.726,2025-08-22
Alabama,AL,Monroe,$2.913,2025-08-22
Alabama,AL,Montgomery,$2.772,2025-08-22
Alabama,AL,Morgan,$2.706,2025-08-22
Alabama,AL,Perry,$3.065,2025-08-22
Alabama,AL,Pickens,$2.803,2025-08-22
Alabama,AL,Pike,$2.852,2025-08-22
Alabama,AL,Randolph,$2.812,2025-08-22
Alabama,AL,Russell,$2.839,2025-08-22
Alabama,AL,Shelby,$2.677,2025-08-22
Alabama,AL,Saint Clair,$2.711,2025-08-22
Alabama,AL,Sumter,$2.981,2025-08-22
Alabama,AL,Talladega,$2.726,2025-08-22
Alabama,AL,Tallapoosa,$2.745,2025-08-22
Alabama,AL,Tuscaloosa,$2.684,2025-08-22
Alabama,AL,Walker,$2.739,2025-08-22
Alabama,AL,Washington,$2.927,2025-08-22
Alabama,AL,Wilcox,$3.111,2025-08-22
Alabama,AL,Winston,$2.837,2025-08-22
Alaska,AK,Aleutians East,,2025-08-22
Alaska,AK,Aleutians West,,2025-08-22
Alaska,AK,Anchorage,$3.831,2025-08-22
Alaska,AK,Bethel,,2025-08-22
Alaska,AK,Bristol Bay,,2025-08-22
Alaska,AK,Denali,$3.691,2025-08-22
Alaska,AK,Dillingham,,2025-08-22
Alaska,AK,Fairbanks North Star,$3.831,2025-08-22
Alaska,AK,Haines,$4.649,2025-08-22
Alaska,AK,Juneau,$3.731,2025-08-22
Alaska,AK,Kenai Peninsula,$3.690,2025-08-22
Alaska,AK,Ketchikan Gateway,$3.814,2025-08-22
Alaska,AK,Kodiak Island,$4.528,2025-08-22
Alaska,AK,Matanuska Susitna,$3.483,2025-08-22
Alaska,AK,Nome,,2025-08-22
Alaska,AK,North Slope,,2025-08-22
Alaska,AK,Northwest Arctic,,2025-08-22
