state,abbreviation,name,price,date
Alabama,AL,Autauga,$2.761,2025-04-20
Alabama,AL,Baldwin,$2.732,2025-04-20
Alabama,AL,Barbour,$2.857,2025-04-20
Alabama,AL,Bibb,$2.758,2025-04-20
Alabama,AL,Blount,$2.883,2025-04-20
Alabama,AL,Bullock,$2.798,2025-04-20
Alabama,AL,Butler,$2.910,2025-04-20
Alabama,AL,Calhoun,$2.814,2025-04-20
Alabama,AL,Chambers,$2.774,2025-04-20
Alabama,AL,Cherokee,$2.791,2025-04-20
Alabama,AL,Chilton,$2.841,2025-04-20
Alabama,AL,Choctaw,$3.002,2025-04-20
Alabama,AL,Clarke,$2.873,2025-04-20
Alabama,AL,Clay,$2.806,2025-04-20
Alabama,AL,Cleburne,$2.865,2025-04-20
Alabama,AL,Coffee,$2.862,2025-04-20
Alabama,AL,Colbert,$2.740,2025-04-20
Alabama,AL,Conecuh,$2.998,2025-04-20
Alabama,AL,Coosa,$2.855,2025-04-20
Alabama,AL,Covington,$2.773,2025-04-20
Alabama,AL,Crenshaw,$2.873,2025-04-20
Alabama,AL,Cullman,$2.740,2025-04-20
Alabama,AL,Dale,$2.808,2025-04-20
Alabama,AL,Dallas,$2.801,2025-04-20
Alabama,AL,De Kalb,$2.771,2025-04-20
Alabama,AL,Elmore,$2.768,2025-04-20
Alabama,AL,Escambia,$2.803,2025-04-20
Alabama,AL,Etowah,$2.689,2025-04-20
Alabama,AL,Fayette,$2.890,2025-04-20
Alabama,AL,Franklin,$2.746,2025-04-20
Alabama,AL,Geneva,$2.836,2025-04-20
Alabama,AL,Greene,$3.029,2025-04-20
Alabama,AL,Hale,$2.826,2025-04-20
Alabama,AL,Henry,$2.776,2025-04-20
Alabama,AL,Houston,$2.727,2025-04-20
Alabama,AL,Jackson,$2.824,2025-04-20
Alabama,AL,Jefferson,$2.781,2025-04-20
Alabama,AL,Lamar,$2.884,2025-04-20
Alabama,AL,Lauderdale,$2.759,2025-04-20
Alabama,AL,Lawrence,$2.751,2025-04-20
Alabama,AL,Lee,$2.737,2025-04-20
Alabama,AL,Limestone,$2.785,2025-04-20
Alabama,AL,Lowndes,$2.895,2025-04-20
Alabama,AL,Macon,$2.901,2025-04-20
Alabama,AL,Madison,$2.752,2025-04-20
Alabama,AL,Marengo,$2.841,2025-04-20
Alabama,AL,Marion,$2.848,2025-04-20
Alabama,AL,Marshall,$2.714,2025-04-20
Alabama,AL,Mobile,$2.724,2025-04-20
Alabama,AL,Monroe,$2.862,2025-04-20
Alabama,AL,Montgomery,$2.756,2025-04-20
Alabama,AL,Morgan,$2.702,2025-04-20
Alabama,AL,Perry,$3.065,2025-04-20
Alabama,AL,Pickens,$2.828,2025-04-20
Alabama,AL,Pike,$2.812,2025-04-20
Alabama,AL,Randolph,$2.811,2025-04-20
Alabama,AL,Russell,$2.799,2025-04-20
Alabama,AL,Shelby,$2.695,2025-04-20
Alabama,AL,Saint Clair,$2.763,2025-04-20
Alabama,AL,Sumter,$3.029,2025-04-20
Alabama,AL,Talladega,$2.816,2025-04-20
Alabama,AL,Tallapoosa,$2.791,2025-04-20
Alabama,AL,Tuscaloosa,$2.758,2025-04-20
Alabama,AL,Walker,$2.783,2025-04-20
Alabama,AL,Washington,$2.885,2025-04-20
Alabama,AL,Wilcox,$2.932,2025-04-20
Alabama,AL,Winston,$2.842,2025-04-20
Alaska,AK,Aleutians East,,2025-04-20
Alaska,AK,Aleutians West,,2025-04-20
Alaska,AK,Anchorage,$3.638,2025-04-20
Alaska,AK,Bethel,,2025-04-20
Alaska,AK,Bristol Bay,,2025-04-20
Alaska,AK,Denali,$3.635,2025-04-20
Alaska,AK,Dillingham,,2025-04-20
Alaska,AK,Fairbanks North Star,$3.674,2025-04-20
Alaska,AK,Haines,,2025-04-20
Alaska,AK,Juneau,$3.479,2025-04-20
Alaska,AK,Kenai Peninsula,$3.661,2025-04-20
Alaska,AK,Ketchikan Gateway,$3.832,2025-04-20
Alaska,AK,Kodiak Island,$4.349,2025-04-20
Alaska,AK,Matanuska Susitna,$3.470,2025-04-20
Alaska,AK,Nome,,2025-04-20
Alaska,AK,North Slope,,2025-04-20
Alaska,AK,Northwest Arctic,,2025-04-20
Alaska,AK,Lake and Peninsula,,2025-04-20
Alaska,AK,Prince Wales Ketchikan,,2025-04-20
Alaska,AK,Sitka,$4.038,2025-04-20
Alaska,AK,Skagway Hoonah Angoon,,2025-04-20
Alaska,AK,Southeast Fairbanks,$3.751,2025-04-20
Alaska,AK,Valdez Cordova,$4.233,2025-04-20
Alaska,AK,Wade Hampton,,2025-04-20
Alaska,AK,Wrangell Petersburg,$3.629,2025-04-20
Alaska,AK,Yakutat,,2025-04-20
Alaska,AK,Yukon Koyukuk,,2025-04-20
Arizona,AZ,Apache,$3.159,2025-04-20
Arizona,AZ,Cochise,$3.216,2025-04-20
Arizona,AZ,Coconino,$3.201,2025-04-20
Arizona,AZ,Gila,$3.229,2025-04-20
Arizona,AZ,Graham,$3.146,2025-04-20
Arizona,AZ,Greenlee,$3.083,2025-04-20
Arizona,AZ,La Paz,$3.088,2025-04-20
Arizona,AZ,Maricopa,$3.528,2025-04-20
Arizona,AZ,Mohave,$3.223,2025-04-20
Arizona,AZ,Navajo,$3.197,2025-04-20
Arizona,AZ,Pima,$3.066,2025-04-20
Arizona,AZ,Pinal,$3.140,2025-04-20
Arizona,AZ,Santa Cruz,$3.157,2025-04-20
Arizona,AZ,Yavapai,$3.185,2025-04-20
