state,abbreviation,name,price,date
Alabama,AL,Autauga,$3.270,2026-03-12
Alabama,AL,Baldwin,$3.290,2026-03-12
Alabama,AL,Barbour,$3.200,2026-03-12
Alabama,AL,Bibb,$3.216,2026-03-12
Alabama,AL,Blount,$3.181,2026-03-12
Alabama,AL,Bullock,$3.299,2026-03-12
Alabama,AL,Butler,$3.234,2026-03-12
Alabama,AL,Calhoun,$3.234,2026-03-12
Alabama,AL,Chambers,$3.264,2026-03-12
Alabama,AL,Cherokee,$3.122,2026-03-12
Alabama,AL,Chilton,$3.224,2026-03-12
Alabama,AL,Choctaw,$3.298,2026-03-12
Alabama,AL,Clarke,$3.306,2026-03-12
Alabama,AL,Clay,$3.236,2026-03-12
Alabama,AL,Cleburne,$3.223,2026-03-12
Alabama,AL,Coffee,$3.257,2026-03-12
Alabama,AL,Colbert,$3.209,2026-03-12
Alabama,AL,Conecuh,$3.290,2026-03-12
Alabama,AL,Coosa,$3.249,2026-03-12
Alabama,AL,Covington,$3.166,2026-03-12
Alabama,AL,Crenshaw,$3.247,2026-03-12
Alabama,AL,Cullman,$3.194,2026-03-12
Alabama,AL,Dale,$3.215,2026-03-12
Alabama,AL,Dallas,$3.309,2026-03-12
Alabama,AL,De Kalb,$3.211,2026-03-12
Alabama,AL,Elmore,$3.264,2026-03-12
Alabama,AL,Escambia,$3.260,2026-03-12
Alabama,AL,Etowah,$3.257,2026-03-12
Alabama,AL,Fayette,$3.296,2026-03-12
Alabama,AL,Franklin,$3.255,2026-03-12
Alabama,AL,Geneva,$3.271,2026-03-12
Alabama,AL,Greene,$3.254,2026-03-12
Alabama,AL,Hale,$3.214,2026-03-12
Alabama,AL,Henry,$3.264,2026-03-12
Alabama,AL,Houston,$3.287,2026-03-12
Alabama,AL,Jackson,$3.207,2026-03-12
Alabama,AL,Jefferson,$3.246,2026-03-12
Alabama,AL,Lamar,$3.235,2026-03-12
Alabama,AL,Lauderdale,$3.246,2026-03-12
Alabama,AL,Lawrence,$3.249,2026-03-12
Alabama,AL,Lee,$3.215,2026-03-12
Alabama,AL,Limestone,$3.227,2026-03-12
Alabama,AL,Lowndes,$3.289,2026-03-12
Alabama,AL,Macon,$3.252,2026-03-12
Alabama,AL,Madison,$3.205,2026-03-12
Alabama,AL,Marengo,$3.283,2026-03-12
Alabama,AL,Marion,$3.247,2026-03-12
Alabama,AL,Marshall,$3.216,2026-03-12
Alabama,AL,Mobile,$3.366,2026-03-12
Alabama,AL,Monroe,$3.151,2026-03-12
Alabama,AL,Montgomery,$3.283,2026-03-12
Alabama,AL,Morgan,$3.216,2026-03-12
Alabama,AL,Perry,$3.399,2026-03-12
Alabama,AL,Pickens,$3.290,2026-03-12
Alabama,AL,Pike,$3.290,2026-03-12
Alabama,AL,Randolph,$3.238,2026-03-12
Alabama,AL,Russell,$3.183,2026-03-12
Alabama,AL,Shelby,$3.274,2026-03-12
Alabama,AL,Saint Clair,$3.206,2026-03-12
Alabama,AL,Sumter,$3.295,2026-03-12
Alabama,AL,Talladega,$3.207,2026-03-12
Alabama,AL,Tallapoosa,$3.158,2026-03-12
Alabama,AL,Tuscaloosa,$3.211,2026-03-12
Alabama,AL,Walker,$3.192,2026-03-12
Alabama,AL,Washington,$3.305,2026-03-12
Alabama,AL,Wilcox,$3.301,2026-03-12
Alabama,AL,Winston,$3.246,2026-03-12
Alaska,AK,Aleutians East,,2026-03-12
Alaska,AK,Aleutians West,$4.749,2026-03-12
Alaska,AK,Anchorage,$3.949,2026-03-12
Alaska,AK,Bethel,,2026-03-12
Alaska,AK,Bristol Bay,,2026-03-12
Alaska,AK,Denali,$4.132,2026-03-12
Alaska,AK,Dillingham,,2026-03-12
Alaska,AK,Fairbanks North Star,$4.014,2026-03-12
Alaska,AK,Haines,$3.399,2026-03-12
Alaska,AK,Juneau,$3.790,2026-03-12
Alaska,AK,Kenai Peninsula,$3.938,2026-03-12
Alaska,AK,Ketchikan Gateway,$3.666,2026-03-12
Alaska,AK,Kodiak Island,$3.399,2026-03-12
Alaska,AK,Matanuska Susitna,$3.860,2026-03-12
Alaska,AK,Nome,,2026-03-12
Alaska,AK,North Slope,,2026-03-12
Alaska,AK,Northwest Arctic,,2026-03-12
Alaska,AK,Lake and Peninsula,,2026-03-12
Alaska,AK,Prince Wales Ketchikan,,2026-03-12
Alaska,AK,Sitka,$3.859,2026-03-12
Alaska,AK,Skagway Hoonah Angoon,,2026-03-12
Alaska,AK,Southeast Fairbanks,$4.162,2026-03-12
Alaska,AK,Valdez Cordova,$4.457,2026-03-12
Alaska,AK,Wade Hampton,,2026-03-12
Alaska,AK,Wrangell Petersburg,,2026-03-12
Alaska,AK,Yakutat,,2026-03-12
Alaska,AK,Yukon Koyukuk,$4.309,2026-03-12
Arizona,AZ,Apache,$3.645,2026-03-12
Arizona,AZ,Cochise,$3.829,2026-03-12
Arizona,AZ,Coconino,$3.781,2026-03-12
Arizona,AZ,Gila,$3.828,2026-03-12
Arizona,AZ,Graham,$3.836,2026-03-12
Arizona,AZ,Greenlee,$3.655,2026-03-12
Arizona,AZ,La Paz,$3.476,2026-03-12
Arizona,AZ,Maricopa,$4.338,2026-03-12
Arizona,AZ,Mohave,$3.673,2026-03-12
Arizona,AZ,Navajo,$3.800,2026-03-12
Arizona,AZ,Pima,$3.832,2026-03-12
Arizona,AZ,Pinal,$3.928,2026-03-12
Arizona,AZ,Santa Cruz,$3.792,2026-03-12
Arizona,AZ,Yavapai,$3.830,2026-03-12
Arizona,AZ,Yuma,$3.544,2026-03-12
Arkansas,AR,Arkansas,$3.095,2026-03-12
Arkansas,AR,Ashley,$3.316,2026-03-12
Arkansas,AR,Baxter,$3.038,2026-03-12
Arkansas,AR,Benton,$3.073,2026-03-12
Arkansas,AR,Boone,$3.031,2026-03-12
Arkansas,AR,Bradley,$3.234,2026-03-12
Arkansas,AR,Calhoun,$3.299,2026-03-12
Arkansas,AR,Carroll,$3.060,2026-03-12
Arkansas,AR,Chicot,$3.230,2026-03-12
Arkansas,AR,Clark,$3.153,2026-03-12
Arkansas,AR,Clay,$3.179,2026-03-12
Arkansas,AR,Cleburne,$3.086,2026-03-12
Arkansas,AR,Cleveland,$3.099,2026-03-12
Arkansas,AR,Columbia,$3.324,2026-03-12
Arkansas,AR,Conway,$3.191,2026-03-12
Arkansas,AR,Craighead,$3.170,2026-03-12
Arkansas,AR,Crawford,$3.115,2026-03-12
Arkansas,AR,Crittenden,$3.217,2026-03-12
Arkansas,AR,Cross,$3.158,2026-03-12
Arkansas,AR,Dallas,$2.999,2026-03-12
