Date,State,City,Regular,Mid-Grade,Premium,Diesel
2023-12-11,Alabama,Anniston-Oxford,2.756,3.107,3.461,3.793
2024-11-11,Alabama,Anniston-Oxford,2.791,3.139,3.543,3.302
2024-12-04,Alabama,Anniston-Oxford,2.776,3.195,3.601,3.312
2024-12-10,Alabama,Anniston-Oxford,2.732,3.050,3.545,3.306
2024-12-11,Alabama,Anniston-Oxford,2.718,3.082,3.550,3.312
2023-12-11,Alabama,Auburn,2.731,3.066,3.517,3.758
2024-11-11,Alabama,Auburn,2.722,3.128,3.462,3.301
2024-12-04,Alabama,Auburn,2.723,3.140,3.562,3.283
2024-12-10,Alabama,Auburn,2.656,3.038,3.462,3.273
2024-12-11,Alabama,Auburn,2.658,3.043,3.474,3.248
2023-12-11,Alabama,Birmingham,2.787,3.189,3.590,3.839
2024-11-11,Alabama,Birmingham,2.783,3.219,3.615,3.342
2024-12-04,Alabama,Birmingham,2.750,3.231,3.629,3.395
2024-12-10,Alabama,Birmingham,2.724,3.211,3.591,3.373
2024-12-11,Alabama,Birmingham,2.716,3.197,3.584,3.368
2023-12-11,Alabama,Daphne-Fairhope-Foley,2.747,3.118,3.499,3.691
2024-11-11,Alabama,Daphne-Fairhope-Foley,2.764,3.195,3.552,3.244
2024-12-04,Alabama,Daphne-Fairhope-Foley,2.743,3.174,3.548,3.236
2024-12-10,Alabama,Daphne-Fairhope-Foley,2.700,3.113,3.489,3.228
2024-12-11,Alabama,Daphne-Fairhope-Foley,2.700,3.139,3.512,3.221
2023-12-11,Alabama,Decatur,2.737,3.150,3.532,3.793
2024-11-11,Alabama,Decatur,2.742,3.157,3.549,3.273
2024-12-04,Alabama,Decatur,2.688,3.159,3.519,3.248
2024-12-10,Alabama,Decatur,2.666,3.106,3.474,3.228
2024-12-11,Alabama,Decatur,2.663,3.078,3.481,3.222
2023-12-11,Alabama,Dothan,2.831,3.211,3.584,3.886
2024-11-11,Alabama,Dothan,2.847,3.259,3.609,3.491
2024-12-04,Alabama,Dothan,2.831,3.217,3.621,3.552
2024-12-10,Alabama,Dothan,2.792,3.214,3.571,3.517
2024-12-11,Alabama,Dothan,2.784,3.217,3.547,3.529
2023-12-11,Alabama,Florence-Muscle Shoals,2.744,3.096,3.478,3.927
2024-11-11,Alabama,Florence-Muscle Shoals,2.749,3.167,3.519,3.259
2024-12-04,Alabama,Florence-Muscle Shoals,2.799,3.231,3.644,3.283
2024-12-10,Alabama,Florence-Muscle Shoals,2.697,3.093,3.454,3.268
2024-12-11,Alabama,Florence-Muscle Shoals,2.686,3.090,3.442,3.254
2023-12-11,Alabama,Gadsden,2.647,2.985,3.428,3.783
2024-11-11,Alabama,Gadsden,2.647,3.057,3.479,3.264
2024-12-04,Alabama,Gadsden,2.707,3.087,3.528,3.275
2024-12-10,Alabama,Gadsden,2.677,3.068,3.513,3.281
2024-12-11,Alabama,Gadsden,2.664,3.069,3.534,3.275
2023-12-11,Alabama,Huntsville,2.804,3.171,3.556,3.863
2024-11-11,Alabama,Huntsville,2.830,3.243,3.629,3.369
2024-12-04,Alabama,Huntsville,2.792,3.237,3.596,3.383
2024-12-10,Alabama,Huntsville,2.756,3.136,3.557,3.340
2024-12-11,Alabama,Huntsville,2.747,3.137,3.547,3.341
2023-12-11,Alabama,Mobile,2.793,3.241,3.601,3.711
2024-11-11,Alabama,Mobile,2.715,3.129,3.471,3.271
2024-12-04,Alabama,Mobile,2.702,3.168,3.538,3.290
2024-12-10,Alabama,Mobile,2.668,3.126,3.465,3.258
2024-12-11,Alabama,Mobile,2.667,3.124,3.454,3.272
2023-12-11,Alabama,Montgomery,2.830,3.226,3.610,3.889
2024-11-11,Alabama,Montgomery,2.781,3.228,3.616,3.301
