Date,State,City,Regular,Mid-Grade,Premium,Diesel
2024-01-23,Alabama,Anniston-Oxford,2.737,3.107,3.443,3.696
2024-12-23,Alabama,Anniston-Oxford,2.775,3.179,3.564,3.298
2025-01-16,Alabama,Anniston-Oxford,2.834,3.236,3.581,3.340
2025-01-22,Alabama,Anniston-Oxford,2.845,3.215,3.611,3.385
2025-01-23,Alabama,Anniston-Oxford,2.832,3.211,3.595,3.371
2024-01-23,Alabama,Auburn,2.794,3.169,3.523,3.684
2024-12-23,Alabama,Auburn,2.688,3.045,3.472,3.236
2025-01-16,Alabama,Auburn,2.747,3.148,3.533,3.350
2025-01-22,Alabama,Auburn,2.760,3.150,3.512,3.412
2025-01-23,Alabama,Auburn,2.764,3.141,3.505,3.413
2024-01-23,Alabama,Birmingham,2.799,3.246,3.618,3.737
2024-12-23,Alabama,Birmingham,2.738,3.187,3.591,3.350
2025-01-16,Alabama,Birmingham,2.786,3.255,3.661,3.438
2025-01-22,Alabama,Birmingham,2.797,3.253,3.667,3.490
2025-01-23,Alabama,Birmingham,2.794,3.255,3.653,3.497
2024-01-23,Alabama,Daphne-Fairhope-Foley,2.812,3.215,3.577,3.621
2024-12-23,Alabama,Daphne-Fairhope-Foley,2.710,3.135,3.470,3.219
2025-01-16,Alabama,Daphne-Fairhope-Foley,2.807,3.228,3.600,3.368
2025-01-22,Alabama,Daphne-Fairhope-Foley,2.811,3.226,3.617,3.448
2025-01-23,Alabama,Daphne-Fairhope-Foley,2.808,3.227,3.606,3.459
2024-01-23,Alabama,Decatur,2.782,3.187,3.554,3.695
2024-12-23,Alabama,Decatur,2.700,3.099,3.470,3.201
2025-01-16,Alabama,Decatur,2.750,3.193,3.542,3.329
2025-01-22,Alabama,Decatur,2.769,3.182,3.569,3.365
2025-01-23,Alabama,Decatur,2.757,3.169,3.539,3.359
2024-01-23,Alabama,Dothan,2.823,3.219,3.554,3.772
2024-12-23,Alabama,Dothan,2.737,3.151,3.531,3.520
2025-01-16,Alabama,Dothan,2.795,3.220,3.618,3.528
2025-01-22,Alabama,Dothan,2.814,3.210,3.632,3.583
2025-01-23,Alabama,Dothan,2.832,3.228,3.636,3.590
2024-01-23,Alabama,Florence-Muscle Shoals,2.735,3.110,3.504,3.631
2024-12-23,Alabama,Florence-Muscle Shoals,2.776,3.175,3.559,3.227
2025-01-16,Alabama,Florence-Muscle Shoals,2.812,3.232,3.615,3.281
2025-01-22,Alabama,Florence-Muscle Shoals,2.862,3.291,3.675,3.348
2025-01-23,Alabama,Florence-Muscle Shoals,2.868,3.295,3.678,3.370
2024-01-23,Alabama,Gadsden,2.689,3.054,3.470,3.650
2024-12-23,Alabama,Gadsden,2.723,3.124,3.545,3.245
2025-01-16,Alabama,Gadsden,2.716,3.123,3.531,3.353
2025-01-22,Alabama,Gadsden,2.739,3.152,3.496,3.354
2025-01-23,Alabama,Gadsden,2.719,3.134,3.511,3.352
2024-01-23,Alabama,Huntsville,2.825,3.202,3.581,3.725
2024-12-23,Alabama,Huntsville,2.744,3.149,3.521,3.315
2025-01-16,Alabama,Huntsville,2.788,3.201,3.580,3.391
2025-01-22,Alabama,Huntsville,2.815,3.247,3.609,3.432
2025-01-23,Alabama,Huntsville,2.812,3.238,3.620,3.424
2024-01-23,Alabama,Mobile,2.820,3.272,3.670,3.659
2024-12-23,Alabama,Mobile,2.673,3.120,3.485,3.226
2025-01-16,Alabama,Mobile,2.764,3.230,3.593,3.417
2025-01-22,Alabama,Mobile,2.793,3.211,3.604,3.481
2025-01-23,Alabama,Mobile,2.785,3.186,3.575,3.499
2024-01-23,Alabama,Montgomery,2.817,3.266,3.673,3.769
2024-12-23,Alabama,Montgomery,2.713,3.145,3.542,3.295
2025-01-16,Alabama,Montgomery,2.800,3.270,3.663,3.376
2025-01-22,Alabama,Montgomery,2.817,3.250,3.673,3.438
2025-01-23,Alabama,Montgomery,2.818,3.251,3.656,3.447
2024-01-23,Alabama,Russell County,2.818,3.288,3.588,3.883
