Date,State,City,Regular,Mid-Grade,Premium,Diesel
2023-12-13,Alabama,Anniston-Oxford,2.725,3.050,3.436,3.818
2024-11-13,Alabama,Anniston-Oxford,2.773,3.101,3.525,3.289
2024-12-06,Alabama,Anniston-Oxford,2.759,3.172,3.585,3.322
2024-12-12,Alabama,Anniston-Oxford,2.709,3.079,3.504,3.292
2024-12-13,Alabama,Anniston-Oxford,2.705,3.076,3.518,3.292
2023-12-13,Alabama,Auburn,2.735,3.087,3.407,3.758
2024-11-13,Alabama,Auburn,2.718,3.101,3.489,3.269
2024-12-06,Alabama,Auburn,2.711,3.118,3.520,3.280
2024-12-12,Alabama,Auburn,2.654,2.987,3.433,3.263
2024-12-13,Alabama,Auburn,2.653,2.998,3.446,3.260
2023-12-13,Alabama,Birmingham,2.770,3.199,3.576,3.847
2024-11-13,Alabama,Birmingham,2.771,3.245,3.632,3.366
2024-12-06,Alabama,Birmingham,2.755,3.225,3.617,3.390
2024-12-12,Alabama,Birmingham,2.710,3.173,3.580,3.376
2024-12-13,Alabama,Birmingham,2.707,3.174,3.583,3.374
2023-12-13,Alabama,Daphne-Fairhope-Foley,2.716,3.114,3.461,3.680
2024-11-13,Alabama,Daphne-Fairhope-Foley,2.744,3.170,3.567,3.253
2024-12-06,Alabama,Daphne-Fairhope-Foley,2.737,3.157,3.538,3.249
2024-12-12,Alabama,Daphne-Fairhope-Foley,2.704,3.159,3.538,3.219
2024-12-13,Alabama,Daphne-Fairhope-Foley,2.700,3.133,3.513,3.212
2023-12-13,Alabama,Decatur,2.717,3.151,3.515,3.779
2024-11-13,Alabama,Decatur,2.731,3.136,3.559,3.264
2024-12-06,Alabama,Decatur,2.677,3.094,3.513,3.238
2024-12-12,Alabama,Decatur,2.662,3.077,3.483,3.209
2024-12-13,Alabama,Decatur,2.661,3.081,3.483,3.208
2023-12-13,Alabama,Dothan,2.823,3.191,3.584,3.883
2024-11-13,Alabama,Dothan,2.831,3.204,3.598,3.513
2024-12-06,Alabama,Dothan,2.827,3.218,3.605,3.537
2024-12-12,Alabama,Dothan,2.778,3.181,3.532,3.529
2024-12-13,Alabama,Dothan,2.769,3.156,3.530,3.529
2023-12-13,Alabama,Florence-Muscle Shoals,2.738,3.162,3.526,3.909
2024-11-13,Alabama,Florence-Muscle Shoals,2.741,3.147,3.533,3.240
2024-12-06,Alabama,Florence-Muscle Shoals,2.751,3.161,3.553,3.299
2024-12-12,Alabama,Florence-Muscle Shoals,2.672,3.054,3.443,3.233
2024-12-13,Alabama,Florence-Muscle Shoals,2.667,3.058,3.431,3.230
2023-12-13,Alabama,Gadsden,2.629,3.022,3.443,3.795
2024-11-13,Alabama,Gadsden,2.635,3.066,3.487,3.298
2024-12-06,Alabama,Gadsden,2.715,3.111,3.533,3.299
2024-12-12,Alabama,Gadsden,2.646,3.047,3.493,3.263
2024-12-13,Alabama,Gadsden,2.640,3.039,3.459,3.265
2023-12-13,Alabama,Huntsville,2.782,3.207,3.548,3.851
2024-11-13,Alabama,Huntsville,2.817,3.232,3.612,3.391
2024-12-06,Alabama,Huntsville,2.783,3.198,3.591,3.374
2024-12-12,Alabama,Huntsville,2.741,3.153,3.544,3.351
2024-12-13,Alabama,Huntsville,2.737,3.140,3.527,3.348
2023-12-13,Alabama,Mobile,2.769,3.255,3.603,3.730
2024-11-13,Alabama,Mobile,2.707,3.111,3.498,3.262
2024-12-06,Alabama,Mobile,2.704,3.166,3.544,3.272
2024-12-12,Alabama,Mobile,2.670,3.123,3.487,3.273
2024-12-13,Alabama,Mobile,2.671,3.126,3.518,3.269
2023-12-13,Alabama,Montgomery,2.802,3.266,3.687,3.865
2024-11-13,Alabama,Montgomery,2.765,3.223,3.640,3.282
2024-12-06,Alabama,Montgomery,2.770,3.258,3.650,3.306
2024-12-12,Alabama,Montgomery,2.716,3.161,3.577,3.284
2024-12-13,Alabama,Montgomery,2.705,3.158,3.561,3.281
2023-12-13,Alabama,Russell County,2.781,3.238,3.557,4.008
2024-11-13,Alabama,Russell County,2.744,3.161,3.536,3.439
2024-12-06,Alabama,Russell County,2.751,3.247,3.540,3.421
2024-12-12,Alabama,Russell County,2.742,3.198,3.565,3.451
2024-12-13,Alabama,Russell County,2.737,3.248,3.521,3.446
2023-12-13,Alabama,Tuscaloosa,2.741,3.162,3.561,3.786
2024-11-13,Alabama,Tuscaloosa,2.746,3.190,3.600,3.289
2024-12-06,Alabama,Tuscaloosa,2.711,3.168,3.602,3.283
2024-12-12,Alabama,Tuscaloosa,2.697,3.150,3.543,3.254
2024-12-13,Alabama,Tuscaloosa,2.700,3.140,3.558,3.268
2023-12-13,Alaska,Anchorage,3.716,4.024,4.250,4.147
2024-11-13,Alaska,Anchorage,3.534,3.836,4.101,3.622
2024-12-06,Alaska,Anchorage,3.397,3.677,3.922,3.599
2024-12-12,Alaska,Anchorage,3.353,3.679,3.898,3.561
2024-12-13,Alaska,Anchorage,3.342,3.665,3.849,3.560
2023-12-13,Alaska,Fairbanks,3.640,3.836,3.993,4.120
2024-11-13,Alaska,Fairbanks,3.471,3.720,3.928,3.720
2024-12-06,Alaska,Fairbanks,3.380,3.622,3.822,3.638
2024-12-12,Alaska,Fairbanks,3.306,3.602,3.771,3.609
2024-12-13,Alaska,Fairbanks,3.283,3.575,3.750,3.609
2023-12-13,Alaska,Juneau,3.984,4.050,3.972,4.455
2024-11-13,Alaska,Juneau,3.581,3.513,3.600,3.700
2024-12-06,Alaska,Juneau,3.575,3.499,3.625,3.688
2024-12-12,Alaska,Juneau,3.418,3.377,3.472,3.515
2024-12-13,Alaska,Juneau,3.461,3.377,3.582,3.729
2023-12-13,Arizona,East Valley,3.303,3.664,3.953,4.036
2024-11-13,Arizona,East Valley,3.246,3.597,3.915,3.497
