Date,State,City,Regular,Mid-Grade,Premium,Diesel
2024-01-28,Alabama,Anniston-Oxford,2.775,3.143,3.494,3.719
2024-12-28,Alabama,Anniston-Oxford,2.767,3.142,3.544,3.268
2025-01-21,Alabama,Anniston-Oxford,2.837,3.188,3.603,3.375
2025-01-27,Alabama,Anniston-Oxford,2.820,3.140,3.551,3.391
2025-01-28,Alabama,Anniston-Oxford,2.843,3.214,3.573,3.390
2024-01-28,Alabama,Auburn,2.827,3.206,3.573,3.708
2024-12-28,Alabama,Auburn,2.656,3.018,3.471,3.246
2025-01-21,Alabama,Auburn,2.770,3.142,3.563,3.412
2025-01-27,Alabama,Auburn,2.752,3.128,3.533,3.412
2025-01-28,Alabama,Auburn,2.753,3.141,3.534,3.421
2024-01-28,Alabama,Birmingham,2.806,3.243,3.622,3.773
2024-12-28,Alabama,Birmingham,2.727,3.191,3.594,3.346
2025-01-21,Alabama,Birmingham,2.793,3.256,3.646,3.477
2025-01-27,Alabama,Birmingham,2.785,3.228,3.618,3.495
2025-01-28,Alabama,Birmingham,2.813,3.275,3.680,3.528
2024-01-28,Alabama,Daphne-Fairhope-Foley,2.868,3.245,3.608,3.671
2024-12-28,Alabama,Daphne-Fairhope-Foley,2.698,3.114,3.484,3.217
2025-01-21,Alabama,Daphne-Fairhope-Foley,2.811,3.235,3.616,3.443
2025-01-27,Alabama,Daphne-Fairhope-Foley,2.789,3.234,3.591,3.446
2025-01-28,Alabama,Daphne-Fairhope-Foley,2.785,3.215,3.581,3.446
2024-01-28,Alabama,Decatur,2.805,3.200,3.555,3.720
2024-12-28,Alabama,Decatur,2.704,3.111,3.477,3.214
2025-01-21,Alabama,Decatur,2.764,3.165,3.530,3.368
2025-01-27,Alabama,Decatur,2.751,3.142,3.530,3.386
2025-01-28,Alabama,Decatur,2.770,3.183,3.607,3.387
2024-01-28,Alabama,Dothan,2.824,3.230,3.581,3.832
2024-12-28,Alabama,Dothan,2.749,3.130,3.555,3.524
2025-01-21,Alabama,Dothan,2.808,3.239,3.620,3.576
2025-01-27,Alabama,Dothan,2.805,3.196,3.611,3.561
2025-01-28,Alabama,Dothan,2.845,3.250,3.655,3.583
2024-01-28,Alabama,Florence-Muscle Shoals,2.773,3.120,3.524,3.630
2024-12-28,Alabama,Florence-Muscle Shoals,2.732,3.138,3.525,3.212
2025-01-21,Alabama,Florence-Muscle Shoals,2.823,3.227,3.610,3.328
2025-01-27,Alabama,Florence-Muscle Shoals,2.807,3.207,3.595,3.367
2025-01-28,Alabama,Florence-Muscle Shoals,2.846,3.284,3.663,3.389
2024-01-28,Alabama,Gadsden,2.700,3.067,3.461,3.649
2024-12-28,Alabama,Gadsden,2.693,3.133,3.528,3.236
2025-01-21,Alabama,Gadsden,2.714,3.152,3.479,3.354
2025-01-27,Alabama,Gadsden,2.698,3.110,3.481,3.361
2025-01-28,Alabama,Gadsden,2.727,3.175,3.533,3.364
2024-01-28,Alabama,Huntsville,2.841,3.234,3.608,3.739
2024-12-28,Alabama,Huntsville,2.734,3.141,3.527,3.296
2025-01-21,Alabama,Huntsville,2.805,3.212,3.582,3.408
2025-01-27,Alabama,Huntsville,2.813,3.208,3.590,3.380
2025-01-28,Alabama,Huntsville,2.827,3.262,3.622,3.424
2024-01-28,Alabama,Mobile,2.842,3.278,3.655,3.716
2024-12-28,Alabama,Mobile,2.661,3.097,3.466,3.265
2025-01-21,Alabama,Mobile,2.792,3.220,3.610,3.484
2025-01-27,Alabama,Mobile,2.774,3.172,3.544,3.485
2025-01-28,Alabama,Mobile,2.772,3.220,3.557,3.490
2024-01-28,Alabama,Montgomery,2.842,3.297,3.712,3.784
2024-12-28,Alabama,Montgomery,2.714,3.149,3.566,3.273
2025-01-21,Alabama,Montgomery,2.817,3.248,3.654,3.426
2025-01-27,Alabama,Montgomery,2.800,3.239,3.600,3.436
2025-01-28,Alabama,Montgomery,2.818,3.266,3.675,3.437
2024-01-28,Alabama,Russell County,2.874,3.303,3.638,3.915
2024-12-28,Alabama,Russell County,2.712,3.204,3.535,3.384
2025-01-21,Alabama,Russell County,2.812,3.225,3.563,3.468
2025-01-27,Alabama,Russell County,2.819,3.248,3.553,3.491
2025-01-28,Alabama,Russell County,2.821,3.251,3.574,3.448
2024-01-28,Alabama,Tuscaloosa,2.807,3.243,3.646,3.725
2024-12-28,Alabama,Tuscaloosa,2.705,3.155,3.576,3.256
2025-01-21,Alabama,Tuscaloosa,2.776,3.204,3.621,3.370
2025-01-27,Alabama,Tuscaloosa,2.799,3.209,3.622,3.418
2025-01-28,Alabama,Tuscaloosa,2.804,3.260,3.653,3.450
2024-01-28,Alaska,Anchorage,3.471,3.760,3.969,3.792
2024-12-28,Alaska,Anchorage,3.326,3.637,3.833,3.529
2025-01-21,Alaska,Anchorage,3.302,3.598,3.806,3.543
2025-01-27,Alaska,Anchorage,3.276,3.571,3.804,3.555
2025-01-28,Alaska,Anchorage,3.282,3.554,3.785,3.538
2024-01-28,Alaska,Fairbanks,3.458,3.620,3.834,4.026
2024-12-28,Alaska,Fairbanks,3.222,3.461,3.666,3.551
