Date,State,City,Regular,Mid-Grade,Premium,Diesel
2023-12-06,Alabama,Anniston-Oxford,2.815,3.183,3.539,3.876
2024-11-06,Alabama,Anniston-Oxford,2.824,3.248,3.631,3.318
2024-11-29,Alabama,Anniston-Oxford,2.745,3.151,3.521,3.276
2024-12-05,Alabama,Anniston-Oxford,2.766,3.194,3.596,3.335
2024-12-06,Alabama,Anniston-Oxford,2.759,3.172,3.585,3.322
2023-12-06,Alabama,Auburn,2.812,3.226,3.549,3.851
2024-11-06,Alabama,Auburn,2.759,3.206,3.485,3.300
2024-11-29,Alabama,Auburn,2.705,3.098,3.489,3.252
2024-12-05,Alabama,Auburn,2.724,3.128,3.551,3.277
2024-12-06,Alabama,Auburn,2.711,3.118,3.520,3.280
2023-12-06,Alabama,Birmingham,2.855,3.282,3.661,3.926
2024-11-06,Alabama,Birmingham,2.810,3.300,3.671,3.378
2024-11-29,Alabama,Birmingham,2.731,3.192,3.591,3.358
2024-12-05,Alabama,Birmingham,2.757,3.233,3.622,3.394
2024-12-06,Alabama,Birmingham,2.755,3.225,3.617,3.390
2023-12-06,Alabama,Daphne-Fairhope-Foley,2.805,3.205,3.593,3.748
2024-11-06,Alabama,Daphne-Fairhope-Foley,2.792,3.226,3.590,3.228
2024-11-29,Alabama,Daphne-Fairhope-Foley,2.704,3.139,3.530,3.235
2024-12-05,Alabama,Daphne-Fairhope-Foley,2.747,3.182,3.565,3.248
2024-12-06,Alabama,Daphne-Fairhope-Foley,2.737,3.157,3.538,3.249
2023-12-06,Alabama,Decatur,2.792,3.247,3.646,3.863
2024-11-06,Alabama,Decatur,2.739,3.173,3.547,3.273
2024-11-29,Alabama,Decatur,2.676,3.093,3.411,3.225
2024-12-05,Alabama,Decatur,2.681,3.117,3.510,3.248
2024-12-06,Alabama,Decatur,2.677,3.094,3.513,3.238
2023-12-06,Alabama,Dothan,2.881,3.254,3.653,3.966
2024-11-06,Alabama,Dothan,2.876,3.276,3.637,3.527
2024-11-29,Alabama,Dothan,2.780,3.132,3.566,3.491
2024-12-05,Alabama,Dothan,2.842,3.232,3.588,3.546
2024-12-06,Alabama,Dothan,2.827,3.218,3.605,3.537
2023-12-06,Alabama,Florence-Muscle Shoals,2.804,3.196,3.609,3.963
2024-11-06,Alabama,Florence-Muscle Shoals,2.816,3.224,3.633,3.254
2024-11-29,Alabama,Florence-Muscle Shoals,2.719,3.119,3.510,3.213
2024-12-05,Alabama,Florence-Muscle Shoals,2.783,3.211,3.634,3.280
