Date,State,City,Regular,Mid-Grade,Premium,Diesel
2023-12-30,Alabama,Anniston-Oxford,2.794,3.148,3.509,3.757
2024-11-30,Alabama,Anniston-Oxford,2.746,3.098,3.507,3.243
2024-12-23,Alabama,Anniston-Oxford,2.775,3.179,3.564,3.298
2024-12-29,Alabama,Anniston-Oxford,2.764,3.134,3.533,3.249
2024-12-30,Alabama,Anniston-Oxford,2.772,3.129,3.508,3.232
2023-12-30,Alabama,Auburn,2.803,3.173,3.505,3.693
2024-11-30,Alabama,Auburn,2.699,3.083,3.453,3.253
2024-12-23,Alabama,Auburn,2.688,3.045,3.472,3.236
2024-12-29,Alabama,Auburn,2.653,3.002,3.455,3.228
2024-12-30,Alabama,Auburn,2.644,3.016,3.422,3.227
2023-12-30,Alabama,Birmingham,2.811,3.239,3.631,3.787
2024-11-30,Alabama,Birmingham,2.723,3.172,3.563,3.349
2024-12-23,Alabama,Birmingham,2.738,3.187,3.591,3.350
2024-12-29,Alabama,Birmingham,2.724,3.187,3.583,3.337
2024-12-30,Alabama,Birmingham,2.723,3.159,3.574,3.334
2023-12-30,Alabama,Daphne-Fairhope-Foley,2.812,3.218,3.616,3.675
2024-11-30,Alabama,Daphne-Fairhope-Foley,2.696,3.135,3.496,3.208
2024-12-23,Alabama,Daphne-Fairhope-Foley,2.710,3.135,3.470,3.219
2024-12-29,Alabama,Daphne-Fairhope-Foley,2.693,3.109,3.481,3.212
2024-12-30,Alabama,Daphne-Fairhope-Foley,2.708,3.118,3.449,3.205
2023-12-30,Alabama,Decatur,2.751,3.185,3.576,3.704
2024-11-30,Alabama,Decatur,2.667,3.115,3.486,3.222
2024-12-23,Alabama,Decatur,2.700,3.099,3.470,3.201
2024-12-29,Alabama,Decatur,2.700,3.095,3.460,3.222
2024-12-30,Alabama,Decatur,2.688,3.088,3.467,3.226
2023-12-30,Alabama,Dothan,2.820,3.182,3.595,3.826
2024-11-30,Alabama,Dothan,2.779,3.146,3.519,3.516
2024-12-23,Alabama,Dothan,2.737,3.151,3.531,3.520
2024-12-29,Alabama,Dothan,2.731,3.121,3.545,3.518
2024-12-30,Alabama,Dothan,2.718,3.136,3.552,3.504
2023-12-30,Alabama,Florence-Muscle Shoals,2.771,3.181,3.553,3.760
2024-11-30,Alabama,Florence-Muscle Shoals,2.707,3.108,3.495,3.210
2024-12-23,Alabama,Florence-Muscle Shoals,2.776,3.175,3.559,3.227
2024-12-29,Alabama,Florence-Muscle Shoals,2.723,3.128,3.525,3.204
2024-12-30,Alabama,Florence-Muscle Shoals,2.733,3.146,3.528,3.205
2023-12-30,Alabama,Gadsden,2.776,3.141,3.547,3.680
2024-11-30,Alabama,Gadsden,2.644,3.050,3.454,3.186
2024-12-23,Alabama,Gadsden,2.723,3.124,3.545,3.245
2024-12-29,Alabama,Gadsden,2.691,3.137,3.523,3.204
2024-12-30,Alabama,Gadsden,2.693,3.129,3.480,3.182
2023-12-30,Alabama,Huntsville,2.810,3.199,3.567,3.775
2024-11-30,Alabama,Huntsville,2.756,3.163,3.527,3.280
2024-12-23,Alabama,Huntsville,2.744,3.149,3.521,3.315
2024-12-29,Alabama,Huntsville,2.732,3.126,3.496,3.264
2024-12-30,Alabama,Huntsville,2.728,3.110,3.477,3.268
2023-12-30,Alabama,Mobile,2.813,3.293,3.671,3.684
2024-11-30,Alabama,Mobile,2.662,3.073,3.424,3.227
2024-12-23,Alabama,Mobile,2.673,3.120,3.485,3.226
2024-12-29,Alabama,Mobile,2.656,3.088,3.443,3.252
2024-12-30,Alabama,Mobile,2.652,3.055,3.414,3.232
2023-12-30,Alabama,Montgomery,2.836,3.287,3.688,3.801
2024-11-30,Alabama,Montgomery,2.723,3.160,3.560,3.285
2024-12-23,Alabama,Montgomery,2.713,3.145,3.542,3.295
2024-12-29,Alabama,Montgomery,2.716,3.140,3.538,3.273
2024-12-30,Alabama,Montgomery,2.714,3.142,3.540,3.279
2023-12-30,Alabama,Russell County,2.825,3.300,3.603,3.923
2024-11-30,Alabama,Russell County,2.734,3.192,3.534,3.438
2024-12-23,Alabama,Russell County,2.717,3.168,3.444,3.381
2024-12-29,Alabama,Russell County,2.703,3.227,3.544,3.370
2024-12-30,Alabama,Russell County,2.693,3.189,3.472,3.334
2023-12-30,Alabama,Tuscaloosa,2.788,3.172,3.596,3.706
2024-11-30,Alabama,Tuscaloosa,2.691,3.127,3.558,3.280
2024-12-23,Alabama,Tuscaloosa,2.716,3.140,3.534,3.253
2024-12-29,Alabama,Tuscaloosa,2.705,3.131,3.542,3.262
2024-12-30,Alabama,Tuscaloosa,2.697,3.135,3.529,3.232
2023-12-30,Alaska,Anchorage,3.576,3.867,4.062,3.973
2024-11-30,Alaska,Anchorage,3.426,3.747,3.933,3.555
2024-12-23,Alaska,Anchorage,3.338,3.611,3.826,3.539
2024-12-29,Alaska,Anchorage,3.332,3.623,3.832,3.527
2024-12-30,Alaska,Anchorage,3.326,3.636,3.830,3.539
2023-12-30,Alaska,Fairbanks,3.577,3.759,3.921,4.063
2024-11-30,Alaska,Fairbanks,3.383,3.648,3.778,3.623
2024-12-23,Alaska,Fairbanks,3.206,3.449,3.671,3.580
2024-12-29,Alaska,Fairbanks,3.222,3.473,3.656,3.544
